Grade,Course,Period,Room,Mark1
9,FMFC1H,2,116,95
10,MGF41HWF,2,107,95
10,UAF85Q3,2,227,85
10,PPF41Q3G,2,GYM2,85
9,MGF41HWF,2,107,93
9,MEF41,2,203,76
12,FJFC9,2,126,72
9,FMFC1,2,116,65
9,HQF41QHB,2,333,85
11,EEFG9UQX,2,125,92
9,EEFG1HB,2,330,91
11,AUFC5UAT,2,232,81
9,PPF41Q2G,2,GYM2,100
9,HGF81HTD,2,311,90
9,HGF81QTD,2,313,65
9,FSFC5,2,113,65
10,FJFC5,2,126,65
11,SPF41H,2,238,90
9,HGF81QQD,2,316,67
10,HUF41QG,2,124,75
11,FSFC5,2,113,65
10,SCF41,2,141,79
11,HFF41X,2,324,85
11,SHFC7TM,2,248,45
12,MPF21U,2,205,83
9,HQF41HHB,2,333,90
10,MGF41HGF,2,207,100
10,HGF85QF,2,321,77
9,SCF41,2,138,82
12,PPF41Q3G,2,GYM2,65
9,SLF41QWB,2,328B,70
11,EEFGDQG,2,246,80
9,PPF41Q2B,2,GYM1,80
9,EEFG5QT,2,249,45
9,PPF41Q2G,2,GYM2,99
9,PPF41Q3G,2,GYM2,90
9,HGF85HF,2,321,90
10,SRF21U,2,346,86
12,HBF21U,2,314,82
9,HGF81QQD,2,316,67
10,HUF41H,2,338,90
9,EEFG1QGB,2,250,73
9,HGF81QF,2,326,85
12,MQF21C,2,208,80
9,PPF41Q2G,2,GYM2,85
12,FSFC9,2,123,78
9,EEFG1QGB,2,250,77
9,SLF41H,2,332,97
10,EEFGDUQF,2,336,65
9,MEF41,2,219,80
9,SLF41QB,2,229,55
10,EEFG5,2,146,86
12,EEFGDUQF,2,336,90
9,HGF81QQD,2,316,88
9,SLF41,2,332,89
11,FLFC9,2,121,65
10,FMFC5H,2,115,94
9,MQF21C,2,208,45
9,PPF41Q3G,2,GYM2,100
9,HGF81QGD,2,313,84
12,HBF21U,2,314,85
9,HGF81QTD,2,311,70
12,UEFGD,2,B27,86
11,EEFG9UQX,2,125,93
11,MQF41QTF,2,106,83
9,PPF41Q2B,2,GYM1,95
9,UAF41Q3,2,227,66
11,AUFC5UAT,2,232,81
10,HUF41,2,338,70
10,HUF41,2,338,70
12,UEFGD,2,B27,65
11,EEFGDUGJ,2,B6,97
9,SLF41QB,2,229,55
11,EEFGDQT,2,246,73
9,HGF81QGD,2,313,77
9,MEF41H,2,219,93
9,FSFC9,2,123,45
10,FMFC5,2,115,45
11,BCF41T,2,108,88
11,SCF41,2,138,77
9,ULFC1TP,2,B39,81
9,HGF81HQD,2,316,91
12,MQF21C,2,208,90
9,MGF41QTF,2,207,68
9,HQF41QHB,2,333,85
11,EEFG9UQX,2,125,92
9,HGF81QF,2,326,55
9,SLF41,2,332,55
12,EEFGDUQJ,2,348,92
9,HUF41,2,338,70
9,EEFG1QGB,2,250,75
10,HUF41,2,338,85
9,HGF81HQD,2,316,93
9,HQF41QHB,2,333,85
9,MEF41,2,219,82
9,SLF41HWB,2,328B,90
10,MRF41,2,225,76
10,HGF81QF,2,326,65
11,FLFC9H,2,121,100
9,HGF81QGD,2,311,78
9,PHF41H2,2,B17,96
9,PPF41Q3G,2,GYM2,100
12,FSFC9,2,123,80
9,MEF41H,2,219,97
11,EEFGDUGJ,2,B6,65
9,SLF41QB,2,229,55
