Grade,Course,Section,Period,Room,Mark1
9,SLF44HT,1,2,231,95
10,HUF44UQX,1,2,333,96
11,SRF22U,1,2,341,98
9,PPF44Q2B,2,2,GYM3,95
9,PPF44Q3B,1,2,GYM3,100
10,BCF44T,31,2,204,91
10,PPF44Q2G,1,2,GYM2,100
9,EEFG4QH,2,2,346,86
9,MEF44QG,1,2,208,88
ST,EEF88QT,1,2,146,78
9,SHFC2TM,1,2,149,90
12,FSF44UQX,1,2,123,65
10,HUF44QG,1,2,316,69
11,FSFCCU,1,2,115,81
10,EEF88,1,2,334B,78
9,SLF44,1,2,338,65
12,EEF44U,2,2,347,84
12,BCF44T,31,2,204,67
12,PGF44Q2C,1,2,GYM1,70
9,HGF87XHD,1,2,325,71
9,EEFG4HG,7,2,246,90
11,SPF44,1,2,229,71
9,HGF87QQD,7,2,313,86
10,HUF44QT,1,2,316,75
9,SLF44QT,1,2,231,88
10,FSFC8,1,2,113,70
9,SLF44QG,1,2,231,79
9,HGF87XHD,1,2,325,90
10,EEF88,1,2,334B,66
12,EEF44U,1,2,349,95
10,HUF44UQX,1,2,333,83
12,BCF44T,31,2,204,88
12,PGF44Q2C,1,2,GYM1,100
12,SHF88U,1,2,327,90
9,HGF87QQD,1,2,321,83
12,FSF44UQX,1,2,123,78
9,SHF82,1,2,228,88
9,HGF87QTD,5,2,314,81
10,EEF88,1,2,334B,65
11,FJFCCU,1,2,124,99
12,HBF22U,1,2,311,82
9,FKFC4,1,2,114,65
12,MPF22U,1,2,205,97
9,FKFC4H,1,2,114,95
9,HGF87HGD,1,2,334A,97
9,SCF44H,2,2,138,92
9,SLF44QW,1,2,328B,77
9,SLF88QQ2,1,2,247,80
9,HGF87QGD,1,2,334A,85
12,HBF22U,1,2,311,92
11,UAF88Q2,1,2,B27,80
9,EEFG4QT,7,2,246,65
9,HGF87QTD,1,2,334A,78
9,PHF44Q2,1,2,B17,77
9,PPF44Q3G,2,2,GYM2,77
9,SLF44HG,1,2,231,95
12,SRF22U,1,2,341,88
12,PPF44Q3B,2,2,GYM3,95
9,EEFG4QH,2,2,346,80
10,MRF44H,2,2,107,95
10,SCF44,2,2,138,69
9,EEFG4HG,7,2,246,96
10,PPF44Q2B,2,2,GYM3,95
10,UAF44H3,1,2,B27,100
9,EEF88,1,2,334B,65
9,PHF44H3,1,2,B17,90
9,PPF44Q2G,2,2,GYM2,70
12,AUFCCTA,1,2,232,95
11,SCF44QG,1,2,139,66
10,EEF88,1,2,334B,69
10,HUF44UQX,1,2,333,80
12,HBF22U,1,2,311,87
9,EEFG4HG,7,2,246,91
12,EEFGGQQC,1,2,250,76
12,FMF44UQX,1,2,116,90
11,EEFGGQQC,1,2,250,71
12,FSF44UQX,1,2,123,80
9,EEFG4QH,2,2,346,83
9,BCF44T,31,2,204,65
9,PPF44Q2G,1,2,GYM2,75
9,MEF44QT,1,2,208,74
